,Name,Year,Rating,Critic Consensus
27,birth/rebirth,(2023),96,"Critics Consensus: Firmly rooted in classic horror, Birth/Rebirth uses a familiar framework to tease at fundamental fears from a chillingly relatable angle."
28,The Wonderful Story of Henry Sugar,(2023),96,"Critics Consensus: With The Wonderful Story of Henry Sugar, Wes Anderson returns to the world of Roald Dahl -- and proves his distinctive style is a comfortable fit for one of the author's sweetest stories."
29,R.M.N.,(2022),97,"Critics Consensus: R.M.N.'s spare, elegant approach lends a deceptively cool surface to its caustic take on cultural divisions."
30,Earth Mama,(2023),97,"Critics Consensus: Heavy yet hopeful, Earth Mama is a moving look at single motherhood on the margins that features outstanding work from writer-director Savanah Leaf and star Tia Nomore."
31,The Blue Caftan,(2022),96,"Critics Consensus: A love story shaped by some surprising contours, The Blue Caftan surveys the hidden heart with compassion and grace."
32,Four Daughters,(2023),96,Critics Consensus: Four Daughters' unique approach to documenting real-life horror is a formal gamble that only underscores the bravery and resilience of its subjects.
33,Spider-Man: Across the Spider-Verse,(2023),95,"Critics Consensus: Just as visually dazzling and action-packed as its predecessor, Spider-Man: Across the Spider-Verse thrills from start to cliffhanger conclusion."
34,They Cloned Tyrone,(2023),95,"Critics Consensus: They Cloned Tyrone is provocative, clever sci-fi with an exceptional cast."
35,Blue Jean,(2022),95,"Critics Consensus: Bridging times past with issues that are still current, Blue Jean resonates intellectually and emotionally thanks to thoughtful direction and authentic performances."
36,Nimona,(2023),92,"Critics Consensus: Tapping a rich emotional vein with its splendid animation and thoughtful allegory, Nimona is a deeply lovable animated adventure."
37,How to Have Sex,(2023),96,"Critics Consensus: A powerful debut for Molly Manning Walker, How to Have Sex authentically captures female adolescence and friendship with sobering effervescence."
38,Attachment,(2022),95,"Critics Consensus: A possession thriller that knows the devil's in the details, Attachment scares some fresh angles out of a well-worn horror subgenre."
39,Amanda,(2022),95,"Critics Consensus: A is for Amanda, an amusingly absurd coming-of-age comedy that offers poignant observations and positions director Carolina Cavalli as a talent to watch."
40,John Wick: Chapter 4,(2023),94,"Critics Consensus: John Wick: Chapter 4 piles on more of everything -- and suggests that when it comes to a well-dressed Keanu Reeves dispatching his enemies in lethally balletic style, there can never be too much."
41,Talk to Me,(2023),95,"Critics Consensus: With a gripping story and impressive practical effects, Talk to Me spins a terrifically creepy 21st-century horror yarn built on classic foundations."
42,You Hurt My Feelings,(2023),94,"Critics Consensus: Smart, funny, and above all entertaining, You Hurt My Feelings finds writer-director Nicole Holofcener as sharply perceptive as ever."
43,Sisu,(2022),94,"Critics Consensus: Narratively lean as it is deliriously gory, Sisu is an inspired pastiche that gives bloody satisfaction to action aficionados."
44,Passages,(2023),94,"Critics Consensus: Elevated by a remarkable Franz Rogowski performance, Passages adds another smart, deeply humanistic film to director/co-writer Ira Sachs' estimable filmography."
45,How to Blow Up a Pipeline,(2022),95,"Critics Consensus: An explosive adaptation of Andreas Malm's treatise, How to Blow Up a Pipeline delivers a high-stakes eco-thriller ignited by riveting and complex antiheroes."
46,Saint Omer,(2022),94,"Critics Consensus: A gut-punching contemplation of a woman's immigrant experience, Saint Omer puts a mother on the stand and the audience in the jury box to find humanity in the inhumane."
47,Scrapper,(2023),94,"Critics Consensus: Like a cold treat on a hot day, Scrapper delivers two scoops of a sweet father-daughter dramedy best consumed when in need of a hug."
48,Smoking Causes Coughing,(2022),94,"Critics Consensus: Quentin Dupieux still isn't for everyone -- but if you're on his loopy wavelength, Smoking Causes Coughing causes laughter."
49,The Night of the 12th,(2022),94,"Critics Consensus: A grim, well-crafted thriller, The Night of the 12th takes a finely layered look at the toxic ripple effect of violence."
50,Radical,(2023),94,"Critics Consensus: Offering few surprises but plenty of uplift, Radical tells a stirring fact-based story brought to life by some top-flight work from Eugenio Derbez."
51,Falcon Lake,(2022),94,"Critics Consensus: Moody, sensitive, and subtly layered, Falcon Lake captures the intoxicating horror of young love."
52,After Love,(2020),92,Critics Consensus: After Love marks an impressively nuanced feature debut for writer-director Aleem Khan -- and a brilliant showcase for Joanna Scanlan's dramatic chops.
53,Oppenheimer,(2023),93,Critics Consensus: Oppenheimer marks another engrossing achievement from Christopher Nolan that benefits from Murphy's tour-de-force performance and stunning visuals.
54,Air,(2023),93,"Critics Consensus: A fact-based drama that no one will dunk on, Air aims to dramatize events that changed the sports world forever -- and hits almost nothing but net."
55,M3GAN,(2022),93,"Critics Consensus: Unapologetically silly and all the more entertaining for it, M3GAN is the rare horror-comedy that delivers chuckles as effortlessly as chills."
56,Poor Things,(2023),92,"Critics Consensus: Wildly imaginative and exhilaratingly over the top, Poor Things is a bizarre, brilliant tour de force for director Yorgos Lanthimos and star Emma Stone."
57,American Fiction,(2023),93,Critics Consensus: Jeffrey Wright and American Fiction will forever be inextricable thanks to the actor's committed approach to the pointedly humorous and insightful material.
58,Flora and Son,(2023),93,"Critics Consensus: Another music-fueled crowd-pleaser from writer-director John Carney, Flora and Son proves almost impossible to resist."
59,All of Us Strangers,(2023),96,Critics Consensus: All of Us Strangers examines profound grief and love through a fantastical lens that is always grounded on human emotion.
60,Reality,(2023),94,Critics Consensus: Reality's narrow scope and gripping fact-based story add up to a riveting showcase for Sydney Sweeney in the title role.
61,Revoir Paris,(2022),93,"Critics Consensus: Further distinguished by Virginie Efira's superb performance, Revoir Paris explores trauma's aftermath with devastating tenderness."
62,Alcarràs,(2022),93,"Critics Consensus: While it may lack a narrative punch, Alcarràs captures this rural world and its heritage with a gripping sense of nostalgia for things forever gone."
63,American Symphony,(2023),94,"Critics Consensus: More than a standard musician's documentary, American Symphony uses its behind-the-scenes access to present a portrait of courage and creativity."
64,The Zone of Interest,(2023),93,"Critics Consensus: Dispassionately examining the ordinary existence of people complicit in horrific crimes, The Zone of Interest forces us to take a cold look at the mundanity behind an unforgivable brutality."
65,The Starling Girl,(2023),92,"Critics Consensus: Sensitively and intelligently crafted by writer-director Laurel Parmet, The Starling Girl is a well-told coming-of-age story centering around a young woman's struggles with her spiritual faith."
66,Perfect Days,(2023),96,"Critics Consensus: An absorbing slice-of-life drama led by a remarkable Kôji Yakusho performance, Perfect Days adds a quietly soaring gem to director/co-writer Wim Wenders' estimable filmography."
67,Juniper,(2021),92,"Critics Consensus: Juniper's story offers few surprises -- and it doesn't need any, with Charlotte Rampling holding the viewer rapt from start to finish."
68,Influencer,(2023),92,"Critics Consensus: Influencer should get plenty of likes from horror fans hungry for a smart, scary chiller with something to say."
69,War Pony,(2022),92,"Critics Consensus: With subtlety and authenticity, War Pony tracks the lives of two young Indigenous men and cements the two women behind the lens, Riley Keough and Gina Gammell, as talents to watch."
70,Jethica,(2022),92,"Critics Consensus: Packing a lot into its brief runtime, Jethica anchors its supernatural thrills with the serious story of a truly terrifying stalker."
71,Dungeons & Dragons: Honor Among Thieves,(2023),91,"Critics Consensus: An infectiously good-spirited comedy with a solid emotional core, Dungeons & Dragons: Honor Among Thieves offers fun fantasy and adventure even if you don't know your HP from your OP."
72,May December,(2023),90,"Critics Consensus: Swaddling its difficult fact-based story in a blanket of campy humor, May December is a seductively discomfiting watch."
73,Joy Ride,(2023),90,"Critics Consensus: Joy Ride isn't afraid to shock with its gross-out gags, but this road trip's real surprise is how successfully it blends its raunchy humor with real heart."
74,Dream Scenario,(2023),92,Critics Consensus: Come to Dream Scenario for career-highlight work from Nicolas Cage -- and leave mulling over everything it has to say about pop culture's fickle whims.
75,Afire,(2023),92,"Critics Consensus: A riveting look at complicated relationships, the well-acted Afire finds Christian Petzold working in an arguably lighter but still notably ambitious vein."
76,You Are So Not Invited to My Bat Mitzvah,(2023),91,"Critics Consensus: A coming-of-age comedy that sidesteps simple nostalgia, You Are So Not Invited to My Bat Mitzvah finds fresh humor in adolescent anxiety -- and suggests a bright future for star Sunny Sandler."
77,Godland,(2022),91,"Critics Consensus: Necessarily bleak but shot through with moments of humor, the beautifully filmed Godland serves as a gently absorbing meditation on mortality."
78,Other People's Children,(2022),91,Critics Consensus: Other People's Children perceptively explores motherhood outside traditional biological confines and delivers sobering truths with an ample side of levity.
79,Society of the Snow,(2023),90,"Critics Consensus: Society of the Snow brings masterful technical skill to bear on its tale of real-life tragedy, but none of that spectacle comes at the expense of its simple, powerful message."
80,Chile '76,(2022),91,Critics Consensus: Chile '76 is an intriguing historical noir that radiographs Pinochet's patronizing and patriarchal society through the eyes of a steely bourgeoise woman who dares to take a stand.
81,The Artifice Girl,(2022),91,Critics Consensus: The Artifice Girl blends timely themes and a sci-fi structure to explore thought-provoking questions surrounding the ethics of artificial intelligence.
82,The Unknown Country,(2022),92,Critics Consensus: Lily Gladstone's outstanding performances powers The Unknown Country through some narrative drift to its ultimately profound destination.
83,Leonor Will Never Die,(2022),91,"Critics Consensus: A delightfully unique tribute to the transporting power of cinema, Leonor Will Never Die marks director/co-writer Martika Ramirez Escobar as a talent to watch."
84,The Origin of Evil,(2022),91,"Critics Consensus: A slow-burning thriller whose twists are held together by a stellar ensemble, The Origin of Evil confirms writer-director Sébastien Marnier as a talent to watch."
85,Bottoms,(2023),90,"Critics Consensus: Propulsive and over-the-top, Bottoms is an instant high school comedy classic that feels both current and nostalgic."
86,Polite Society,(2023),90,"Critics Consensus: Polite Society throws, kicks, and punches the genre etiquette book out the window to deliver a fun film that blends Bollywood splendor and British wryness."
87,Brooklyn 45,(2023),90,"Critics Consensus: Although its story can feel circuitous and a bit baggy, Brooklyn 45's character-driven period horror is elevated by some excellent performances."
88,Dreamin' Wild,(2022),90,Critics Consensus: The thoughtful and well-acted Dreamin' Wild honors the creative impulse and the faith it takes to will a dream into reality.
89,All Dirt Roads Taste of Salt,(2023),89,"Critics Consensus: For viewers willing and able to adjust to its leisurely, recursive rhythm, All Dirt Roads Taste of Salt is a beautifully elegant exploration of grief and longing."
90,The Cow Who Sang a Song Into the Future,(2022),90,"Critics Consensus: With a hopeful tune, The Cow Who Sang a Song Into the Future basks in magical realism to deliver a compelling family drama swathed in a powerful environmental fable."
91,You Can Live Forever,(2022),90,"Critics Consensus: Narratively subtle and beautifully acted, You Can Live Forever finds soulful drama at the intersection of sexual orientation and religious faith."
92,Sanctuary,(2022),88,"Critics Consensus: Revolving around outstanding performances from Margaret Qualley and Christopher Abbott, Sanctuary confounds expectations with élan."
93,A Million Miles Away,(2023),89,"Critics Consensus: Thanks in part to a pair of appealing lead performances, A Million Miles Away is one inspirational biopic that mostly avoids heavy-handed gimmicks."
94,Aporia,(2023),89,"Critics Consensus: High-concept sci-fi that never loses touch with the human experience, Aporia is an emotionally impactful blend of powerful performances and imaginative themes."
95,Aristotle and Dante Discover the Secrets of the Universe,(2022),90,"Critics Consensus: A sweet, well-rounded coming-of-age story, Aristotle and Dante Discover the Secrets of the Universe adapts its source material with tenderness and care."
96,Mutt,(2023),89,"Critics Consensus: A slow-burning cinematic revelation, Mutt sees director Vuk Lunglov-Klotz navigating personal transition through a comprehensive lens."
97,Barbie,(2023),88,Critics Consensus: Barbie is a visually dazzling comedy whose meta humor is smartly complemented by subversive storytelling.
98,Creed III,(2023),88,"Critics Consensus: Stepping out from Rocky Balboa's iconic shadow at last, the Creed franchise reasserts its champion status thanks to star Michael B. Jordan's punchy direction and a nuanced heel turn by Jonathan Majors."
99,The Iron Claw,(2023),89,"Critics Consensus: Powerfully acted and profoundly sad, The Iron Claw honors its fact-based story with a dramatization whose compassionate exploration of family ties is just as hard-hitting as its action in the wrestling ring."
100,Showing Up,(2022),88,"Critics Consensus: A deceptively simple drama about the artist's life, Showing Up reunites Kelly Reichardt and Michelle Williams to absorbing effect."
101,Missing,(2023),88,"Critics Consensus: Missing can strain credulity in its efforts to keep the audience guessing, but a fast pace and relatable fears keep this twisty techno-thriller from completely losing its way."
102,The Royal Hotel,(2023),89,"Critics Consensus: A chilling immersion into a place and time fraught with constant danger, The Royal Hotel reunites Kitty Green and Julia Garner to electrifying effect."
103,Emily,(2022),88,"Critics Consensus: With a bracingly irreverent approach to its story and Emma Mackey bringing Brontë vibrantly to life, Emily is a biopic that manages to feel true while taking entertaining creative liberties."
104,Tori and Lokita,(2022),88,"Critics Consensus: Another humanistic gem from the Dardennes, Tori and Lokita puts its characters in heartbreaking circumstances while insisting on their intrinsic dignity."
105,Sick of Myself,(2022),88,"Critics Consensus: Sick of Myself is intent on turning stomachs with its vicious satire of vanity in the time of social media, delivering a dark one-upping saga of egos gone awry."
106,Il buco,(2021),88,Critics Consensus: Il Buco is a visual marvel that reaffirms the old adage about a picture being worth a thousand words.
107,Infinity Pool,(2023),87,"Critics Consensus: Turbulent waters even for strong swimmers, Infinity Pool provides a visceral all-inclusive retreat of Cronenbergian perversion for those wanting to escape commercial sundries."
108,The Blackening,(2022),87,"Critics Consensus: While it could stand to be a little funnier and quite a bit scarier, The Blackening is a thoughtful satire that skewers horror tropes and racial stereotypes."
109,The Color Purple,(2023),82,"Critics Consensus: Building on the legacy of the previous film adaptation while incorporating elements of the stage musical, The Color Purple is a crowd-pleasing testament to resilience in the face of trauma."
110,Totally Killer,(2023),87,"Critics Consensus: Totally Killer may not take full advantage of its promising conceit, but this time-traveling horror/sci-fi mashup is still enjoyable overall."
111,Pacifiction,(2022),87,"Critics Consensus: Narratively sparse and visually vast, Pacifiction is a tsunami of a political thriller that philosophically rewards those willing to weather it."
112,Sick,(2022),87,"Critics Consensus: Smart, self-aware, and all too timely, this slasher co-written by Kevin Williamson is Sick in all the best ways."
113,Brother,(2022),87,"Critics Consensus: Deeply felt and emotionally resonant, Brother overcomes its imposing length and a certain narrative familiarity with riveting performances and stunning cinematography."
114,Theater Camp,(2023),86,"Critics Consensus: Theater Camp's authentic depiction of the theater experience may not resonate as strongly with non-actors, but they'll probably be laughing too hard to seriously complain."
115,Of an Age,(2022),86,"Critics Consensus: While it may not belong in the upper ranks of cinematic queer love stories, Of an Age is a moving romance elevated by powerhouse performances."
116,The Five Devils,(2022),86,"Critics Consensus: Overflowing with ideas as it moves across genres, The Five Devils uses intoxicating magical realism to explore a family's troubled past."
117,The Wrath of Becky,(2023),86,"Critics Consensus: Bringing Lulu Wilson back for another round of whooping on bad guys, this Wrath is one Becky with the good sequel."
118,The Killer,(2023),86,Critics Consensus: The Killer finds director David Fincher on firm footing with a stylish and engaging thriller that proves a perfect match for leading man Michael Fassbender.
119,Fair Play,(2023),85,"Critics Consensus: With assured style that's at times reminiscent of the best '90s nail-biting thrillers, Fair Play juxtaposes premarital disharmony with greed and gender politics in the cutthroat finance world."
120,Eileen,(2023),83,"Critics Consensus: Anne Hathaway and Thomasin McKenzie prove a well-matched duo in Eileen, which honors its source material with a twisty tale of obsession."
121,Nyad,(2023),85,"Critics Consensus: Nyad is an uplifting sports biopic strictly on the merits of its story, but it's the outstanding performances from Annette Bening and Jodie Foster that really keep this picture afloat."
122,Suitable Flesh,(2023),85,"Critics Consensus: Campy and creepy, Suitable Flesh delivers visceral, '80s-inspired horror topped off by game performances from Barbara Crampton and Heather Graham."
123,The Angry Black Girl and Her Monster,(2023),85,"Critics Consensus: Injecting a classic story with fresh innovation and social relevance, The Angry Black Girl and Her Monster is a thrillingly assured feature debut for writer-director Bomani J. Story."
124,Cairo Conspiracy,(2022),85,"Critics Consensus: Although it may not fully unlock the promise of its tension-rich setting and premise, Cairo Conspiracy's strong performances and sophisticated script offer solidly satisfying compensation."
125,Wonka,(2023),82,"Critics Consensus: With director Paul King at the helm and some solid new songs at the ready, the warmly old-fashioned Wonka puts a suitably sweet spin on the classic character while still leaving some room for the source material's darker undertones."
126,Evil Dead Rise,(2023),84,"Critics Consensus: Offering just about everything longtime fans could hope for while still managing to carry the franchise forward, Evil Dead Rise is all kinds of groovy."
127,Dumb Money,(2023),84,"Critics Consensus: Dumb Money's crowd-pleasing dramatization of real-life stock hijinks may not tell the complete story, but it's rousingly entertaining nonetheless."
128,Rustin,(2023),84,"Critics Consensus: Colman Domingo is sensational in Rustin, a stirring biopic that shines an overdue light on a remarkable legacy of public service."
129,Thanksgiving,(2023),84,"Critics Consensus: Combining belly-busting humor with delightfully over-the-top gore, Thanksgiving is a feast for grindhouse fans."
130,Shortcomings,(2023),85,"Critics Consensus: Randall Park's directorial debut has humor and heart, giving star Justin H. Min a swoonworthy starring vehicle with few Shortcomings."
131,Jules,(2023),85,"Critics Consensus: Brought to life by an outstanding ensemble cast, Jules uses its cute concept to grapple with poignant, universally relatable themes."
132,Guardians of the Galaxy Vol. 3,(2023),82,"Critics Consensus: A galactic group hug that might squeeze a little too tight on the heartstrings, the final Guardians of the Galaxy is a loving last hurrah for the MCU's most ragtag family."
133,Priscilla,(2023),84,"Critics Consensus: With Cailee Spaeny's performance in the title role leading the way, Priscilla sees Sofia Coppola taking a tender yet clear-eyed look at the often toxic blend created by mixing first love and fame."
134,Tetris,(2023),81,"Critics Consensus: While it's nowhere near as addictive or fast-paced as the game, Tetris offers a fun, fizzy account of the story behind an 8-bit classic."
135,El Conde,(2023),82,"Critics Consensus: A darkly delirious satire rooted in real-life horror, El Conde finds Pablo Larraín revisiting familiar themes without losing their provocative power."
136,No One Will Save You,(2023),82,"Critics Consensus: A home invasion thriller with an extraterrestrial twist, No One Will Save You serves up more genre fun from writer-director Brian Duffield -- and proves Kaitlyn Dever doesn't need much dialogue to command the screen."
137,Linoleum,(2022),82,"Critics Consensus: A solid showcase for Jim Gaffigan as well as a sneakily ambitious dramedy, Linoleum adds another impressive entry to writer-director Colin West's filmography."
138,The Persian Version,(2023),83,"Critics Consensus: A vibrant portrait of culture clashes and generation gaps, The Persian Version gains added resonance through its spirited specificity."
139,Rotting in the Sun,(2023),82,Critics Consensus: Rotting in the Sun's bold ambition and infectious frenetic energy prove a natural -- albeit not universally appealing -- fit for its unique flavor of dark mischief.
140,Monica,(2022),84,"Critics Consensus: Bolstered by a powerful lead performance from Trace Lysette, Monica follows a personal quest that's as beautifully filmed as it is emotionally resonant."
141,Maestro,(2023),79,"Critics Consensus: Led by a pair of powerful performances, Maestro serves as a stirring overview of a tremendous talent's life and legacy."
142,Leo,(2023),82,"Critics Consensus: Slick animation, catchy songs, and some winning voice work from a cast led by Adam Sandler help Leo strike an uneasy balance between satirical and sweet."
143,Perpetrator,(2023),82,"Critics Consensus: A smartly ambitious supernatural thriller, Perpetrator blends an assortment of genres and influences into a bloody good time."
144,Saw X,(2023),80,"Critics Consensus: Led by a franchise-best performance from Tobin Bell, Saw X reinvigorates the series with an installment that has a surprising amount of heart to go with all the gore."
145,Biosphere,(2022),80,"Critics Consensus: Biosphere's rambling, unfinished feel doesn't always serve its thoughtful themes, but it's often offset by the engaging interplay between the movie's well-matched leads."
146,Quiz Lady,(2023),81,Critics Consensus: Quiz Lady's perfectly matched leads help Jessica Yu's occasionally uneven comedy overcome its periodic wobbles and land on the right side of hilarious and heartfelt.
147,Extraction 2,(2023),79,"Critics Consensus: Bigger, bolder, and in some respects even better than its predecessor, Extraction 2 is an over-the-top action thriller done right."
148,Chicken Run: Dawn of the Nugget,(2023),81,"Critics Consensus: Chicken Run: Dawn of the Nugget offers more of the easy laughs and eye-catching animation that fans of the original enjoyed, although there's a general feeling of diminishing returns."
149,Enys Men,(2022),79,"Critics Consensus: If its story's mysteries are ultimately less compelling than they might seem, Enys Men's retro aesthetic and intriguingly abstract visuals make this a chilly treat for horror fans."
150,Origin,(2023),81,"Critics Consensus: A moving drama that's unafraid to ask big questions, Origin honors its source material with powerful performances in service of a deeply emotional story."
151,Between Two Worlds,(2021),79,"Critics Consensus: Led by a typically brilliant performance from Juliette Binoche, Between Two Worlds takes a pointed yet possibly patronizing look at the human face of economic inequality."
152,Scarlet,(2022),79,"Critics Consensus: Its many disparate ingredients come together in a somewhat lumpy blend, but Scarlet remains a largely bewitching period fantasy."
153,Blue Beetle,(2023),78,"Critics Consensus: Led by Xolo Maridueña's magnetic performance in the title role, Blue Beetle is a refreshingly family-focused superhero movie with plenty of humor and heart."
154,Plane,(2023),78,"Critics Consensus: Plane charts a standard action-adventure course with its cruising altitude just a few miles above Direct-to-Video -- but with Gerard Butler in the cockpit, thriller enthusiasts will still find this a fun flight."
155,Chevalier,(2022),77,"Critics Consensus: Supported by Kelvin Harrison Jr.'s outstanding work in the title role, Chevalier offers an entertaining gateway into the incredible life of a brilliant artist."
156,The Lost King,(2022),77,"Critics Consensus: The movie's curiously bland compared to the remarkable real-life story it dramatizes, but Sally Hawkins' performance saves The Lost King from feeling like a royal disappointment."
157,Scream VI,(2023),76,"Critics Consensus: Certain aspects of horror's most murderously meta franchise may be going stale, but a change of setting and some inventive set pieces help keep Scream VI reasonably sharp."
158,A Haunting in Venice,(2023),76,"Critics Consensus: A darker and spookier spin on Branagh's Poirot, A Haunting in Venice is a decent Halloween snack whose undemanding mystery gets a lift from nifty visuals and an all-star cast."
159,"Red, White & Royal Blue",(2023),76,"Critics Consensus: Amusing and endearing, Red, White & Royal Blue is a cheerfully formulaic rom-com that embraces inclusion without falling back on stereotypes."
160,The Lesson,(2023),76,"Critics Consensus: Even if it isn't always quite as clever as it seems to think it is, sharp performances from an outrageously talented cast make The Lesson worth learning."
161,Sitting in Bars with Cake,(2023),75,"Critics Consensus: A well-acted if slightly formulaic story of friendship, Sitting in Bars with Cake moves between laughter and tears without succumbing to melodrama."
162,Asteroid City,(2023),75,"Critics Consensus: Asteroid City is unlikely to win Wes Anderson many new converts, but those who respond to his signature style will find this a return to immaculately arranged form."
163,Leave the World Behind,(2023),75,"Critics Consensus: An exceptionally well-acted apocalyptic thriller, Leave the World Behind steadily draws the viewer in despite its leisurely pace and somewhat simplistic messaging."
164,Strange Way of Life,(2023),76,"Critics Consensus: A tantalizing glimpse of the bond between two people, the well-acted Strange Way of Life adds a brief but still rewarding chapter to Pedro Almodóvar's filmography."
165,Moving On,(2022),75,"Critics Consensus: Moving On fails frustratingly often to rise to the level of its leads, but Jane Fonda and Lily Tomlin are entertaining company regardless of the context."
166,The Offering,(2022),74,"Critics Consensus: Within the outline of its fairly standard story, The Offering puts a unique -- and often genuinely scary -- spin on demonic possession horror tropes."
167,The Inventor,(2023),74,"Critics Consensus: A beautifully animated history lesson, The Inventor seems somewhat uncertain as to which audience it's trying to reach, but it remains amusing and often engaging."
168,Elemental,(2023),73,"Critics Consensus: Elemental may not satisfy as fully as the greatest Pixar pictures, but it remains a solid story told with dazzling visual flair."
169,Medusa Deluxe,(2022),72,"Critics Consensus: A uniquely stylish whodunit, Medusa Deluxe positions debuting director/co-writer Thomas Hardiman as a talented filmmaker with exciting potential."
