,Name,Year,Rating,Critic Consensus,Summary
27,birth/rebirth,(2023),96,"Firmly rooted in classic horror, Birth/Rebirth uses a familiar framework to tease at fundamental fears from a chillingly relatable angle.", Rose (Marin Ireland) is a pathologist who prefers working with corpses over social interaction. She also has an obsession --... [More]
28,The Wonderful Story of Henry Sugar,(2023),95,"With The Wonderful Story of Henry Sugar, Wes Anderson returns to the world of Roald Dahl -- and proves his distinctive style is a comfortable fit for one of the author's sweetest stories."," The Wonderful Story of Henry Sugar:
A rich man learns about a guru who can see without using his eyes. 
He... [More]"
29,R.M.N.,(2022),97,"R.M.N.'s spare, elegant approach lends a deceptively cool surface to its caustic take on cultural divisions."," Award-winning director Cristian Mungiu's (4 Months, 3 Weeks, 2 Days) gripping portrait of ethnic and economic resentments tearing at the... [More]"
30,Earth Mama,(2023),97,"Heavy yet hopeful, Earth Mama is a moving look at single motherhood on the margins that features outstanding work from writer-director Savanah Leaf and star Tia Nomore."," With two children in foster care, Gia, a pregnant single mother pitted against the system, fights to reclaim her family.... [More]"
31,The Blue Caftan,(2022),96,"A love story shaped by some surprising contours, The Blue Caftan surveys the hidden heart with compassion and grace.", Halim and Mina run a traditional caftan store in one of Morocco's oldest medinas. In order to keep up with... [More]
32,Four Daughters,(2023),96,Four Daughters' unique approach to documenting real-life horror is a formal gamble that only underscores the bravery and resilience of its subjects.," This riveting exploration of rebellion, memory, and sisterhood reconstructs the story of Olfa Hamrouni and her four daughters, unpacking a... [More]"
33,Spider-Man: Across the Spider-Verse,(2023),95,"Just as visually dazzling and action-packed as its predecessor, Spider-Man: Across the Spider-Verse thrills from start to cliffhanger conclusion."," Miles Morales returns for the next chapter of the Oscar®-winning Spider-Verse saga, an epic adventure that will transport Brooklyn's full-time,... [More]"
34,They Cloned Tyrone,(2023),95,"They Cloned Tyrone is provocative, clever sci-fi with an exceptional cast."," A series of eerie events thrusts an unlikely trio (John Boyega, Jamie Foxx and Teyonah Parris) onto the trail of... [More]"
35,Blue Jean,(2022),96,"Bridging times past with issues that are still current, Blue Jean resonates intellectually and emotionally thanks to thoughtful direction and authentic performances."," England, 1988 -- Margaret Thatcher's Conservative government is about to pass a law stigmatizing gays and lesbians, forcing Jean, a... [More]"
36,Nimona,(2023),92,"Tapping a rich emotional vein with its splendid animation and thoughtful allegory, Nimona is a deeply lovable animated adventure."," When Ballister Boldheart (Riz Ahmed), a knight in a futuristic medieval world, is framed for a crime he didn't commit,... [More]"
37,How to Have Sex,(2023),96,"A powerful debut for Molly Manning Walker, How to Have Sex authentically captures female adolescence and friendship with sobering effervescence."," Three British teenage girls go on a rites-of-passage holiday -- drinking, clubbing and hooking up, in what should be the... [More]"
38,Attachment,(2022),95,"A possession thriller that knows the devil's in the details, Attachment scares some fresh angles out of a well-worn horror subgenre."," ATTACHMENT is a horror romance about Maja, a has-been actress in Denmark, who falls in love with Leah, a young,... [More]"
39,Amanda,(2022),95,"A is for Amanda, an amusingly absurd coming-of-age comedy that offers poignant observations and positions director Carolina Cavalli as a talent to watch."," Born into an upper-class family with a doting mother who foots the bill for her indolent lifestyle, 24-year-old combative Amanda... [More]"
40,John Wick: Chapter 4,(2023),94,"John Wick: Chapter 4 piles on more of everything -- and suggests that when it comes to a well-dressed Keanu Reeves dispatching his enemies in lethally balletic style, there can never be too much."," John Wick (Keanu Reeves) uncovers a path to defeating The High Table. But before he can earn his freedom, Wick... [More]"
41,Talk to Me,(2023),95,"With a gripping story and impressive practical effects, Talk to Me spins a terrifically creepy 21st-century horror yarn built on classic foundations."," When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new... [More]"
42,You Hurt My Feelings,(2023),94,"Smart, funny, and above all entertaining, You Hurt My Feelings finds writer-director Nicole Holofcener as sharply perceptive as ever.", From acclaimed filmmaker Nicole Holofcener comes a sharply observed comedy about a novelist whose long standing marriage is suddenly upended... [More]
43,Sisu,(2022),94,"Narratively lean as it is deliriously gory, Sisu is an inspired pastiche that gives bloody satisfaction to action aficionados."," During the last desperate days of WWII, a solitary prospector (Jorma Tommila) crosses paths with Nazis on a scorched-earth retreat... [More]"
44,Passages,(2023),95,"Elevated by a remarkable Franz Rogowski performance, Passages adds another smart, deeply humanistic film to director/co-writer Ira Sachs' estimable filmography."," Celebrated filmmaker Ira Sachs (Love is Strange) makes a breathtaking return with PASSAGES, a fresh, honest and brutally funny take... [More]"
45,How to Blow Up a Pipeline,(2022),95,"An explosive adaptation of Andreas Malm's treatise, How to Blow Up a Pipeline delivers a high-stakes eco-thriller ignited by riveting and complex antiheroes."," A crew of young environmental activists execute a daring mission to sabotage an oil pipeline, in Daniel Goldhaber's taut and... [More]"
46,Saint Omer,(2022),94,"A gut-punching contemplation of a woman's immigrant experience, Saint Omer puts a mother on the stand and the audience in the jury box to find humanity in the inhumane."," Saint-Omer court of law. Young novelist Rama attends the trial of Laurence Coly, a young woman accused of killing her... [More]"
47,Scrapper,(2023),94,"Like a cold treat on a hot day, Scrapper delivers two scoops of a sweet father-daughter dramedy best consumed when in need of a hug."," This vibrant and inventive father-daughter comedy follows Georgie (Lola Campbell), a resourceful 12-year-old girl who secretly lives alone in her... [More]"
48,Smoking Causes Coughing,(2022),94,"Quentin Dupieux still isn't for everyone -- but if you're on his loopy wavelength, Smoking Causes Coughing causes laughter."," A wildly inventive new comedy from Quentin Dupieux (MANDIBLES, RUBBER), SMOKING CAUSES COUGHING follows the misadventures of a team of... [More]"
49,The Night of the 12th,(2022),94,"A grim, well-crafted thriller, The Night of the 12th takes a finely layered look at the toxic ripple effect of violence."," In nearly every police precinct, detectives are inevitably confronted with a case that goes unsolved. The more heinous the crime,... [More]"
50,Radical,(2023),94,"Offering few surprises but plenty of uplift, Radical tells a stirring fact-based story brought to life by some top-flight work from Eugenio Derbez."," In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries a radical new method to... [More]"
51,Falcon Lake,(2022),94,"Moody, sensitive, and subtly layered, Falcon Lake captures the intoxicating horror of young love.", A shy teenager on a summer vacation experiences the joy and pain of young adulthood when he forges an unlikely... [More]
52,After Love,(2020),92,After Love marks an impressively nuanced feature debut for writer-director Aleem Khan -- and a brilliant showcase for Joanna Scanlan's dramatic chops.," Set in the port town of Dover, Mary Hussain suddenly finds herself a widow following the unexpected death of her... [More]"
53,Oppenheimer,(2023),93,Oppenheimer marks another engrossing achievement from Christopher Nolan that benefits from Murphy's tour-de-force performance and stunning visuals.," During World War II, Lt. Gen. Leslie Groves Jr. appoints physicist J. Robert Oppenheimer to work on the top-secret Manhattan... [More]"
54,Air,(2023),93,"A fact-based drama that no one will dunk on, Air aims to dramatize events that changed the sports world forever -- and hits almost nothing but net."," From award-winning director Ben Affleck, AIR reveals the unbelievable game-changing partnership between a then-rookie Michael Jordan and Nike's fledgling basketball... [More]"
55,M3GAN,(2022),93,"Unapologetically silly and all the more entertaining for it, M3GAN is the rare horror-comedy that delivers chuckles as effortlessly as chills."," M3GAN is a marvel of artificial intelligence, a life-like doll programmed to be a child's greatest companion and a parent's... [More]"
56,Poor Things,(2023),92,"Wildly imaginative and exhilaratingly over the top, Poor Things is a bizarre, brilliant tour de force for director Yorgos Lanthimos and star Emma Stone."," From filmmaker Yorgos Lanthimos and producer Emma Stone comes the incredible tale and fantastical evolution of Bella Baxter (Stone), a... [More]"
57,American Fiction,(2023),93,Jeffrey Wright and American Fiction will forever be inextricable thanks to the actor's committed approach to the pointedly humorous and insightful material.," AMERICAN FICTION is Cord Jefferson's hilarious directorial debut, which confronts our culture's obsession with reducing people to outrageous stereotypes. Jeffrey... [More]"
58,Flora and Son,(2023),93,"Another music-fueled crowd-pleaser from writer-director John Carney, Flora and Son proves almost impossible to resist."," Single mom Flora (Eve Hewson) is at a loss about what to do with her rebellious teenage son, Max (Orén... [More]"
59,All of Us Strangers,(2023),96,All of Us Strangers examines profound grief and love through a fantastical lens that is always grounded on human emotion.," One night in his near-empty tower block in contemporary London, Adam (Andrew Scott) has a chance encounter with a mysterious... [More]"
60,Reality,(2023),94,Reality's narrow scope and gripping fact-based story add up to a riveting showcase for Sydney Sweeney in the title role.," On a Saturday afternoon, in June 2017, Reality Winner, a 25-year-old in cut-off jeans, is confronted at her Georgia home... [More]"
61,Revoir Paris,(2022),94,"Further distinguished by Virginie Efira's superb performance, Revoir Paris explores trauma's aftermath with devastating tenderness."," After an idyllic date night full of red wine and a late-night motorcycle ride home, Mia (Virginie Efira) stops at... [More]"
62,Alcarràs,(2022),93,"While it may lack a narrative punch, Alcarràs captures this rural world and its heritage with a gripping sense of nostalgia for things forever gone."," In a small village in Catalonia, the peach farmers of the Solé family spend every summer together picking fruit from... [More]"
63,American Symphony,(2023),94,"More than a standard musician's documentary, American Symphony uses its behind-the-scenes access to present a portrait of courage and creativity."," Early in 2022, multi-instrumentalist Jon Batiste finds himself the most celebrated artist of the year with eleven Grammy nominations including... [More]"
64,The Zone of Interest,(2023),93,"Dispassionately examining the ordinary existence of people complicit in horrific crimes, The Zone of Interest forces us to take a cold look at the mundanity behind an unforgivable brutality."," The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in... [More]"
65,The Starling Girl,(2023),92,"Sensitively and intelligently crafted by writer-director Laurel Parmet, The Starling Girl is a well-told coming-of-age story centering around a young woman's struggles with her spiritual faith.", Seventeen-year-old Jem Starling struggles to define her place within her fundamentalist Christian community in rural Kentucky. Even her greatest joy... [More]
66,Perfect Days,(2023),96,"An absorbing slice-of-life drama led by a remarkable Kôji Yakusho performance, Perfect Days adds a quietly soaring gem to director/co-writer Wim Wenders' estimable filmography.", Hirayama seems utterly content with his simple life as a cleaner of toilets in Tokyo. Outside of his very structured... [More]
67,Juniper,(2021),92,"Juniper's story offers few surprises -- and it doesn't need any, with Charlotte Rampling holding the viewer rapt from start to finish.", Ruth (Oscar nominee Charlotte Rampling) is a worldly former war correspondent now bored in retirement with a drinking problem and... [More]
68,Influencer,(2023),92,"Influencer should get plenty of likes from horror fans hungry for a smart, scary chiller with something to say."," INFLUENCER tells the story of Madison (Emily Tennant, ""Riverdale""), a popular social media influencer who is having a lonely and... [More]"
69,War Pony,(2022),92,"With subtlety and authenticity, War Pony tracks the lives of two young Indigenous men and cements the two women behind the lens, Riley Keough and Gina Gammell, as talents to watch."," At 23, Bill (Jojo Bapteise Whiting) just wants to make something of himself. Whether it's siphoning gas, delivering goods or... [More]"
70,Jethica,(2022),92,"Packing a lot into its brief runtime, Jethica anchors its supernatural thrills with the serious story of a truly terrifying stalker."," Hiding out in New Mexico after a freak accident, Elena runs into Jessica, an old friend from high school. When... [More]"
71,Dungeons & Dragons: Honor Among Thieves,(2023),91,"An infectiously good-spirited comedy with a solid emotional core, Dungeons & Dragons: Honor Among Thieves offers fun fantasy and adventure even if you don't know your HP from your OP."," A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things... [More]"
72,May December,(2023),91,"Swaddling its difficult fact-based story in a blanket of campy humor, May December is a seductively discomfiting watch."," Twenty years after their notorious tabloid romance gripped the nation, Gracie Atherton-Yu and her husband Joe (twenty-three years her junior)... [More]"
73,Joy Ride,(2023),90,"Joy Ride isn't afraid to shock with its gross-out gags, but this road trip's real surprise is how successfully it blends its raunchy humor with real heart.", The hilarious and unapologetically explicit story of identity and self-discovery centers on four unlikely friends who embark on a once-in-a-lifetime... [More]
74,Dream Scenario,(2023),91,me to Dream Scenario for career-highlight work from Nicolas Cage -- and leave mulling over everything it has to say about pop culture's fickle whims., Hapless family man Paul Matthews (Nicolas Cage) finds his life turned upside down when millions of strangers suddenly start seeing... [More]
75,Afire,(2023),92,"A riveting look at complicated relationships, the well-acted Afire finds Christian Petzold working in an arguably lighter but still notably ambitious vein."," While vacationing by the Baltic Sea, writer Leon (Thomas Schubert) and photographer Felix (Langston Uibel) are surprised by the presence... [More]"
76,You Are So Not Invited to My Bat Mitzvah,(2023),91,"A coming-of-age comedy that sidesteps simple nostalgia, You Are So Not Invited to My Bat Mitzvah finds fresh humor in adolescent anxiety -- and suggests a bright future for star Sunny Sandler."," Stacy and Lydia are BFFs who've always dreamed about having epic bat mitzvahs. However, things start to go comically awry... [More]"
77,Godland,(2022),91,"Necessarily bleak but shot through with moments of humor, the beautifully filmed Godland serves as a gently absorbing meditation on mortality."," In the late 19th century, a young Danish priest travels to a remote part of Iceland to build a church... [More]"
78,Other People's Children,(2022),91,Other People's Children perceptively explores motherhood outside traditional biological confines and delivers sobering truths with an ample side of levity.," Rachel is 40 years old, with no children. She loves her life: her high school students, her friends, her ex,... [More]"
79,Society of the Snow,(2023),90,"Society of the Snow brings masterful technical skill to bear on its tale of real-life tragedy, but none of that spectacle comes at the expense of its simple, powerful message."," In 1972, Uruguayan Air Force Flight 571, which had been chartered to fly a rugby team to Chile, crashed in... [More]"
80,Chile '76,(2022),91,hile '76 is an intriguing historical noir that radiographs Pinochet's patronizing and patriarchal society through the eyes of a steely bourgeoise woman who dares to take a stand.," Chile, 1976. Carmen heads off to her beach house to supervise its renovation. Her husband, children and grandchildren come back... [More]"
81,The Artifice Girl,(2022),91,The Artifice Girl blends timely themes and a sci-fi structure to explore thought-provoking questions surrounding the ethics of artificial intelligence., A team of special agents discovers a revolutionary new computer program to bait and trap online predators. After teaming up... [More]
82,The Unknown Country,(2022),92,Lily Gladstone's outstanding performances powers The Unknown Country through some narrative drift to its ultimately profound destination.," Reeling from a devastating loss, Tana (Lily Gladstone) is pulled back into the world by an unexpected invitation to her... [More]"
83,Leonor Will Never Die,(2022),91,"A delightfully unique tribute to the transporting power of cinema, Leonor Will Never Die marks director/co-writer Martika Ramirez Escobar as a talent to watch."," Leonor Reyes was once a major player in the Filipino film industry after creating a string of successful action films,... [More]"
84,The Origin of Evil,(2022),92,"A slow-burning thriller whose twists are held together by a stellar ensemble, The Origin of Evil confirms writer-director Sébastien Marnier as a talent to watch."," When Stéphane (Laure Calamy of Call My Agent!, Full Time) gets in touch with wealthy Serge (Jacques Weber), announcing that... [More]"
85,Bottoms,(2023),90,"Propulsive and over-the-top, Bottoms is an instant high school comedy classic that feels both current and nostalgic."," BOTTOMS, a refreshingly unique raunchy comedy, focuses on two girls, PJ and Josie, who start a fight club as a... [More]"
86,Polite Society,(2023),90,"Polite Society throws, kicks, and punches the genre etiquette book out the window to deliver a fun film that blends Bollywood splendor and British wryness."," A merry mash-up of sisterly affection, parental disappointment and bold action, POLITE SOCIETY follows martial artist-in-training Ria Khan who believes... [More]"
87,Brooklyn 45,(2023),90,"Although its story can feel circuitous and a bit baggy, Brooklyn 45's character-driven period horror is elevated by some excellent performances."," Friday, December 27, 1945. Five military veterans gather in the ornate parlor of a Brooklyn brownstone. Best friends since childhood,... [More]"
88,Dreamin' Wild,(2022),90,The thoughtful and well-acted Dreamin' Wild honors the creative impulse and the faith it takes to will a dream into reality.," Dreamin' Wild, the true story of love and redemption, is about what happened to singer/songwriter Donnie Emerson and his family... [More]"
89,All Dirt Roads Taste of Salt,(2023),89,"For viewers willing and able to adjust to its leisurely, recursive rhythm, All Dirt Roads Taste of Salt is a beautifully elegant exploration of grief and longing."," A lyrical, decades-spanning exploration across a woman's life in Mississippi, the feature debut from award-winning poet, photographer and filmmaker Raven... [More]"
90,The Cow Who Sang a Song Into the Future,(2022),90,"With a hopeful tune, The Cow Who Sang a Song Into the Future basks in magical realism to deliver a compelling family drama swathed in a powerful environmental fable."," When thousands of fish die in a polluted river in southern Chile, Magdalena, a woman long-deceased, emerges amongst their lifeless... [More]"
91,You Can Live Forever,(2022),90,"Narratively subtle and beautifully acted, You Can Live Forever finds soulful drama at the intersection of sexual orientation and religious faith."," In the early '90s, gay teen Jaime is sent to live with her devout Jehovah’s Witness relatives after the death... [More]"
92,Sanctuary,(2022),88,"Revolving around outstanding performances from Margaret Qualley and Christopher Abbott, Sanctuary confounds expectations with élan."," Set over the course of one night in a single hotel room, ""Sanctuary"" tells the story of a dominatrix (Margaret... [More]"
93,A Million Miles Away,(2023),89,"Thanks in part to a pair of appealing lead performances, A Million Miles Away is one inspirational biopic that mostly avoids heavy-handed gimmicks."," Inspired by the real-life story of NASA flight engineer José Hernández, A Million Miles Away follows him on a decades-long... [More]"
94,Aporia,(2023),89,"High-concept sci-fi that never loses touch with the human experience, Aporia is an emotionally impactful blend of powerful performances and imaginative themes."," Since losing her husband Mal (Edi Gathegi) in a drunk-driving incident, Sophie (Judy Greer) has struggled to manage crippling grief,... [More]"
95,Aristotle and Dante Discover the Secrets of the Universe,(2022),90,"A sweet, well-rounded coming-of-age story, Aristotle and Dante Discover the Secrets of the Universe adapts its source material with tenderness and care."," Resentful at the world, 15-year-old Aristotle Mendoza wants to blend in and be left alone, but the summer he meets... [More]"
96,Mutt,(2023),89,"A slow-burning cinematic revelation, Mutt sees director Vuk Lunglov-Klotz navigating personal transition through a comprehensive lens."," Within the space of 24 hours, Feña is swept through the extremes of human emotion when people who seemed to... [More]"
97,Barbie,(2023),88,Barbie is a visually dazzling comedy whose meta humor is smartly complemented by subversive storytelling., To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full-on... [More]
98,Creed III,(2023),88,"Stepping out from Rocky Balboa's iconic shadow at last, the Creed franchise reasserts its champion status thanks to star Michael B. Jordan's punchy direction and a nuanced heel turn by Jonathan Majors."," After dominating the boxing world, Adonis Creed (Michael B. Jordan) has been thriving in both his career and family life.... [More]"
99,The Iron Claw,(2023),89,"Powerfully acted and profoundly sad, The Iron Claw honors its fact-based story with a dramatization whose compassionate exploration of family ties is just as hard-hitting as its action in the wrestling ring."," The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling... [More]"
100,Showing Up,(2022),88,"A deceptively simple drama about the artist's life, Showing Up reunites Kelly Reichardt and Michelle Williams to absorbing effect.", A sculptor (Michelle Williams) preparing to open a new show must balance her creative life with the daily dramas of... [More]
101,Missing,(2023),88,"Missing can strain credulity in its efforts to keep the audience guessing, but a fast pace and relatable fears keep this twisty techno-thriller from completely losing its way."," When her mother (Nia Long) disappears while on vacation in Colombia with her new boyfriend, June's (Storm Reid) search for... [More]"
102,The Royal Hotel,(2023),89,"A chilling immersion into a place and time fraught with constant danger, The Royal Hotel reunites Kitty Green and Julia Garner to electrifying effect."," Americans Hanna and Liv are best friends backpacking in Australia. After they run out of money, Liv, looking for an... [More]"
103,Emily,(2022),88,"With a bracingly irreverent approach to its story and Emma Mackey bringing Brontë vibrantly to life, Emily is a biopic that manages to feel true while taking entertaining creative liberties."," EMILY imagines Emily Brontë’s own Gothic story that inspired her seminal novel, ""Wuthering Heights."" Haunted by the death of her... [More]"
104,Tori and Lokita,(2022),88,"Another humanistic gem from the Dardennes, Tori and Lokita puts its characters in heartbreaking circumstances while insisting on their intrinsic dignity.", A friendship develops between two young people after they are exiled in Belgium.... [More]
105,Sick of Myself,(2022),88,"Sick of Myself is intent on turning stomachs with its vicious satire of vanity in the time of social media, delivering a dark one-upping saga of egos gone awry."," Signe (Kristine Kujath Thorp) and Thomas (Eirik Sæther) are in an unhealthy, competitive relationship that takes a vicious turn when... [More]"
106,Il buco,(2021),88,Il Buco is a visual marvel that reaffirms the old adage about a picture being worth a thousand words.," During the economic boom of the 1960s, Europe’s highest building is being built in Italy’s prosperous North. At the other... [More]"
107,Infinity Pool,(2023),87,"Turbulent waters even for strong swimmers, Infinity Pool provides a visceral all-inclusive retreat of Cronenbergian perversion for those wanting to escape commercial sundries."," While staying at an isolated island resort, James (Alexander Skarsgård) and Em (Cleopatra Coleman) are enjoying a perfect vacation of... [More]"
108,The Blackening,(2022),87,"While it could stand to be a little funnier and quite a bit scarier, The Blackening is a thoughtful satire that skewers horror tropes and racial stereotypes.", The Blackening centers around a group of Black friends who reunite for a Juneteenth weekend getaway only to find themselves... [More]
109,The Color Purple,(2023),82,"Building on the legacy of the previous film adaptation while incorporating elements of the stage musical, The Color Purple is a crowd-pleasing testament to resilience in the face of trauma."," A story of love and resilience based on the novel and the Broadway musical, THE COLOR PURPLE is a decades-spanning... [More]"
110,Totally Killer,(2023),87,"Totally Killer may not take full advantage of its promising conceit, but this time-traveling horror/sci-fi mashup is still enjoyable overall."," Thirty-five years after the shocking murder of three teens, the infamous ""Sweet Sixteen Killer"" returns on Halloween night to claim... [More]"
111,Pacifiction,(2022),87,"Narratively sparse and visually vast, Pacifiction is a tsunami of a political thriller that philosophically rewards those willing to weather it."," On the French Polynesian island of Tahiti, the High Commissioner of the Republic and French government official DE ROLLER is... [More]"
112,Sick,(2022),85,"Smart, self-aware, and all too timely, this slasher co-written by Kevin Williamson is Sick in all the best ways."," As the pandemic steadily brings the world to a halt, Parker and her best friend Miri decide to quarantine at... [More]"
113,Brother,(2022),87,"Deeply felt and emotionally resonant, Brother overcomes its imposing length and a certain narrative familiarity with riveting performances and stunning cinematography."," Adapted from David Chariandy's award-winning novel of the same name, Brother is propelled by the pulsing beats of Toronto's early... [More]"
114,Theater Camp,(2023),86,"Theater Camp's authentic depiction of the theater experience may not resonate as strongly with non-actors, but they'll probably be laughing too hard to seriously complain.", Tony Award winner Ben Platt and Molly Gordon star in the new original comedy Theater Camp as Amos and Rebecca-Diane... [More]
